module,evidence_type,evidence_path,dashboard_page,sha256,size_bytes,row_count,readiness_status,production_evidence,synthetic_fixture
8G,context_interventions,Results/POMDP_Ablation/context_intervention_results.csv,Robustness & Context Diagnostics,5703a922944658b7dfa96a8d2b65f35943f017ffb654d6eacffb33f9318ba214,7149,27.0,READY,True,False
8G,forecast_robustness,Results/POMDP_Ablation/forecast_robustness.csv,Robustness & Context Diagnostics,fe2016081a1ad5b5c727ca5c4077e7f9124c315b4fff5b82ef29d7c6455276e7,1948,9.0,READY,True,False
8G,sequence_sensitivity,Results/POMDP_Ablation/sequence_sensitivity.csv,Robustness & Context Diagnostics,f8bd12f404b52a1a6bdc5db63946457da8dadb2f1b97c5428119a5d1a8e5c23f,2491,12.0,READY,True,False
8H,main_results,Results/Confirmatory_10Seed/main_10seed_results_2025.csv,Fair DRL Benchmark,9ca63b020bdef6f4c47fef59608c89e29b75709395227cf1ea2c0ca0bc6f4c41,16833,40.0,READY,True,False
8H,factorial_results,Results/Confirmatory_10Seed/sac_family_10seed_factorial.csv,POMDP Contribution,da4417232f55f0ac86bf152e0294e9d315512686641a604a7c78b29acdcee440,17825,40.0,READY,True,False
8H,friedman,Results/Confirmatory_10Seed/friedman_results.csv,10-Seed Confirmatory Statistics,3bae6a0b776ef633e633f6ec318b0848215450542d29fd705be8413bb5293d55,287,1.0,READY,True,False
8H,planned_contrasts,Results/Confirmatory_10Seed/planned_contrasts.csv,10-Seed Confirmatory Statistics,a9335b111e07f6b05d42bdf7d0c1ce671ca6dafc03655cbe37a24fbc5414171c,2223,6.0,READY,True,False
8H,factorial_inference,Results/Confirmatory_10Seed/factorial_inference.csv,10-Seed Confirmatory Statistics,428863700bf157967b0061661ef196a607f3643f14e991c7d4c84816a8765d10,1006,3.0,READY,True,False
8H,statistics_summary,Results/Confirmatory_10Seed/final_statistics_summary.json,10-Seed Confirmatory Statistics,bc9678570b96174d9f9ff8c471ca3f784c8f0c4dbddcda11c4af5a8a503ccc40,1746,1.0,READY,True,False
8H,confirmatory_manifest,Results/Confirmatory_10Seed/confirmatory_manifest.json,Reproducibility & Provenance,7a67ad198357e19335598c718e00b08044a896d5a41c1000ea586c05365aa20c,1640,1.0,READY,True,False
9B,dissertation_update_map,Results/Dissertation_Evidence/dissertation_update_map.csv,Release package,20048d4ac240641b3c3d4eae3665c664fcddfef6b6728ed775080135efacd3b1,4006,18.0,READY,True,False
9B,result_insertion_matrix,Results/Dissertation_Evidence/result_insertion_matrix.csv,Release package,dfb315ed49c23cfa3c81250d05071ccbb7f6221cb2874df03b7bdfdc996d2ed4,8711,33.0,READY,True,False
9B,hypothesis_decision_table,Results/Dissertation_Evidence/hypothesis_decision_table.csv,Release package,3c88f771cc4791806d3f202329e5b2e0004a84443baa327aa408b2a7c357739c,2128,4.0,READY,True,False
9B,claim_matrix,Results/Dissertation_Evidence/claim_matrix.csv,Release package,eaf607ad89f9a7d643a13c4b33f9bfd1f4a5f53d780dc8ef8272f7d5090d9d9e,3263,13.0,READY,True,False
9B,chapter_results_draft,Docs/Dissertation/chapter_results_draft.md,Release package,29fcec0d18a92f06dcf4b0bb8df1f52aff33f5a46eabc632f1373cfab7330c72,7187,,READY,True,False
9B,chapter_discussion_draft,Docs/Dissertation/chapter_discussion_draft.md,Release package,a9c2930f451b3fd92e0c49786d60b59a44e1bb06a65b8127b9a5bddc693583b6,4673,,READY,True,False
9C,reviewer_response_matrix,Results/Reviewer_Defense/reviewer_response_matrix.csv,Release package,b527711a18cb08d2f2fbaf66871e49b2ef58cac627bcedeae21fa311551a70ac,12224,12.0,READY,True,False
9C,defense_qa_bank,Results/Reviewer_Defense/defense_qa_bank.csv,Release package,4227fffe20b5651fe48493bb21fc3d43b5e207f8f462bc2d153e2f8419b82191,15028,16.0,READY,True,False
9C,claim_to_evidence_matrix,Results/Reviewer_Defense/claim_to_evidence_matrix.csv,Release package,0d2bfbc97620a3dc1637493b295505a2c35e3359b8af358603a63d91c074c738,5507,13.0,READY,True,False
9C,red_flag_wording,Docs/Reviewer_Defense/red_flag_wording.md,Release package,e901e21e7571ee86b91f446767465c96530a1d9c19d144e9c46e5c23c38ea796,4291,,READY,True,False
9C,one_page_defense_card,Docs/Reviewer_Defense/one_page_defense_card.md,Release package,418632f958d4ee6c11c90e172f69525d4e3733943849d2dd881a042ab2d74e1a,2538,,READY,True,False
8H,main_checkpoint_registry,Results/Confirmatory_10Seed/main_checkpoint_registry.csv,Release package,3c6e449a3a84e437df0b5bad79ac1eb7fff4771edf3df9860905ec3cbd06d2b5,12469,40.0,READY,True,False
8H,sac_family_checkpoint_registry,Results/Confirmatory_10Seed/sac_family_checkpoint_registry.csv,Release package,92162c7d968af920b87947dd47d4edc4de998ec5f537ed32587f44d33cc0137a,13616,40.0,READY,True,False
8H,holm_adjusted_results,Results/Confirmatory_10Seed/holm_adjusted_results.csv,Release package,c35dd07621437ce4a4a740cb2d7987675c3a8a2a28db1d2d9aac0dbde1b30396,681,9.0,READY,True,False
8H,bootstrap_ci,Results/Confirmatory_10Seed/bootstrap_ci.csv,Release package,87c9986ae4fd69d3a0253d361b1a7e167afe10a39aa2a3f5718cdba0382286b5,1008,9.0,READY,True,False
9D,master_results,Results/Reproducibility_Freeze/master_results.csv,Release package,ebab34ce6d5db2962d92bee110cd652f3e3db9ce85e984f3fb5ca157271ee98f,51534,80.0,READY,True,False
9D,checkpoint_registry,Results/Reproducibility_Freeze/checkpoint_registry.csv,Release package,f7ea16a00813219ebd6fe6fd625608e2096643234ff5ffb805d57ff10ca025b1,10304,40.0,READY,True,False
9D,sac_family_checkpoint_registry,Results/Reproducibility_Freeze/sac_family_checkpoint_registry.csv,Release package,5daaa6b787a5764e2af7979442346a862137fc62e28064a769ef20806306a753,11550,40.0,READY,True,False
